# pq-sigs benchmark results
# date:         2026-09-18T17:58:55Z
# host:         ip-172-31-0-204
# os:           Ubuntu 26.04.1 LTS
# kernel:       7.0.0-1012-aws
# cpu:          Intel(R) Xeon(R) Platinum 8488C
# cores:        16 (threads/core: 2)
# max_freq_mhz: unknown (cur: unknown MHz)
# governor:     unknown
# turbo:        unknown
# flags:        fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc arch_perfmon rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq monitor ssse3 fma cx16 pdcm pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch cpuid_fault ssbd ibrs ibpb stibp ibrs_enhanced fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx_vnni avx512_bf16 wbnoinvd ida arat avx512vbmi umip pku ospke waitpkg avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg tme avx512_vpopcntdq rdpid cldemote movdiri movdir64b md_clear serialize amx_bf16 avx512_fp16 amx_tile amx_int8 flush_l1d arch_capabilities
#
# compiler:     cc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
# openssl:      OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026)
# sources:
#   schemes/faest/ref: https://github.com/faest-sign/faest-arch-opt@1d8330979cb467c54edac43ffe695da249fa3417
#   schemes/fndsa/ref: https://github.com/pornin/c-fn-dsa@33026d4d2734049a23f065f77eea11c35de58d76
#   schemes/hawk/ref: https://github.com/hawk-sign/dev@1b9fef52559273fe7b40fe3e22968eaedd3a4c2a
#   schemes/mayo/ref: https://github.com/PQCMayo/MAYO-C@74de637a7c4a7f9fafa888183bc05f5cf920cd2d
#   schemes/mldsa/ref: https://github.com/pq-crystals/dilithium.git@6e00625c5b29f516c6de973fe2ee2fbb150973f9
#   schemes/mqom/ref: https://github.com/mqom/mqom-v3@d9c64e386b186ee186684a0389fc32009bd67cd1
#   schemes/qruov/ref: https://github.com/qruov/round2.git@787f8dba4c158f713d3351e7531edbec4afddf97
#   schemes/sdith/ref: https://github.com/sdith/sdith@fff41ae5b12ba3c6b90d8f97b2ede57aa277a92f
#   schemes/sdith2/ref: https://github.com/sdith/sdith@ce7adf06476674d4ff990f378f83f9981cd6745b
#   schemes/slhdsa/ref: https://github.com/pq-code-package/slhdsa-c@fac08b7d0a93849de0ee163c63712395e012b38c
#   schemes/snova/ref: https://github.com/PQCLAB-SNOVA/SNOVA.git@9b29c1e332cbd85757c8d6362a57b9a8c8298a38
#   schemes/sqisign/ref: https://github.com/SQISign/the-sqisign@6d017708db403bf83977fa70770fc4f7f9e9ff21
#   schemes/uov/ref: https://github.com/pqov/pqov.git@fac2ec1fe6d8ea508eab4b98eb5341e1eed930a4
#
# cyclecounter: rdpmc CPU_CYCLES (real core cycles, user-space)
scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
ML-DSA-44                     1000           74044        20.9          171469        46.7           77835        21.6
ML-DSA-65                     1000          126836        34.8          283230        76.1          127458        34.7
ML-DSA-87                     1000          199777        54.0          361082        96.7          201096        54.1
SLH-DSA-SHA2-128s               50       199884942     52991.0      1523003317    403908.1         1515554       403.4
SLH-DSA-SHAKE-128s              50       268983324     71443.7      2098060294    556729.0         2087849       557.0
SLH-DSA-SHA2-128f               50         3124796       829.8        73127495     19386.3         4413883      1173.8
SLH-DSA-SHAKE-128f              50         4325252      1148.1       102258389     27124.0         6072205      1610.5
SLH-DSA-SHA2-192s               50       296659024     78650.5      2742642209    727561.6         2295294       607.5
SLH-DSA-SHAKE-192s              50       396758757    105202.2      3740482401    992528.7         3083648       819.9
SLH-DSA-SHA2-192f               50         4639476      1230.5       121905066     32316.7         6569555      1739.2
SLH-DSA-SHAKE-192f              50         6397158      1694.5       169159755     44852.4         8867662      2355.2
SLH-DSA-SHA2-256s               50       193464338     51292.8      2403771801    637714.4         3306356       879.0
SLH-DSA-SHAKE-256s              50       272558593     72273.5      3440370832    912602.4         4560742      1210.8
SLH-DSA-SHA2-256f               50        12096448      3207.2       246931122     65474.1         6626000      1754.2
SLH-DSA-SHAKE-256f              50        17061765      4524.5       351349275     93225.1         9168666      2431.6
FN-DSA-512                    1000         9463876      2525.9          598902       162.8           62118        19.5
FN-DSA-1024                   1000        35776612      9503.7         1189055       319.1          115024        33.4
RSA-2048 (PSS)                 200       120156168     31872.6         1901219       524.9           72263        20.2
RSA-3072 (PSS)                  50       330922649     87782.6         4366420      1177.9          145749        39.5
RSA-4096 (PSS)                  50      1335277403    354118.0         8074283      2162.3          239560        64.3
ECDSA-P256 (SHA-256)          1000           54969        15.8           79894        22.3          237644        63.7
ECDSA-P384 (SHA-384)          1000          466065       124.1          607362       161.7         1377336       366.1
ECDSA-P521 (SHA-512)          1000          443814       118.2          772628       205.1         1470346       391.1
Ed25519                       1000          123868        33.9          123633        33.7          332860        88.8
Ed448                         1000          502354       133.8          514485       137.3          654680       174.3
HAWK-512                      1000         4407122      1184.2           78728        21.8           90578        25.0
HAWK-1024                     1000        32148047      8552.4          184484        50.8          186159        51.4
MAYO-one                      1000           61857        17.5          174489        47.2           74959        20.9
MAYO-two                      1000           49207        14.1           95622        26.4           38545        11.3
MAYO-three                    1000          162802        44.1          353863        94.4          152572        41.3
MAYO-five                     1000          370533        98.8          812877       215.4          342838        91.4
FAEST-128s                     200            3367         2.0         9873821      2996.2         8545508      2623.7
FAEST-128f                    1000            1075         1.4         1581401       423.0         1151705       309.4
FAEST-EM-128s                  200            1841         1.6         6592964      1753.6         5725426      1523.9
FAEST-EM-128f                 1000            1089         1.4         1319533       351.3          886778       235.1
FAEST-192s                     100            4361         2.2        41170996     12060.8        33113004      9904.6
FAEST-192f                    1000            2076         1.7         6788997      1819.0         5275677      1405.8
FAEST-EM-192s                  100            4376         2.3        27663082      8489.0        25810005      7965.6
FAEST-EM-192f                 1000            2523         1.8         4445977      1187.1         3349014       891.3
FAEST-256s                      50            6211         2.8        56047677     17195.4        54251638     16719.2
FAEST-256f                     500            3146         1.9         9548458      2552.5         7552867      2023.4
