# pq-sigs benchmark results
# date:         2026-09-18T17:58:55Z
# host:         ip-172-31-0-204
# os:           Ubuntu 26.04.1 LTS
# kernel:       7.0.0-1012-aws
# cpu:          Intel(R) Xeon(R) Platinum 8488C
# cores:        16 (threads/core: 2)
# max_freq_mhz: unknown (cur: unknown MHz)
# governor:     unknown
# turbo:        unknown
# flags:        fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc arch_perfmon rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq monitor ssse3 fma cx16 pdcm pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch cpuid_fault ssbd ibrs ibpb stibp ibrs_enhanced fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx_vnni avx512_bf16 wbnoinvd ida arat avx512vbmi umip pku ospke waitpkg avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg tme avx512_vpopcntdq rdpid cldemote movdiri movdir64b md_clear serialize amx_bf16 avx512_fp16 amx_tile amx_int8 flush_l1d arch_capabilities
#
# compiler:     cc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
# openssl:      OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026)
# sources:
#   schemes/faest/ref: https://github.com/faest-sign/faest-arch-opt@1d8330979cb467c54edac43ffe695da249fa3417
#   schemes/fndsa/ref: https://github.com/pornin/c-fn-dsa@33026d4d2734049a23f065f77eea11c35de58d76
#   schemes/hawk/ref: https://github.com/hawk-sign/dev@1b9fef52559273fe7b40fe3e22968eaedd3a4c2a
#   schemes/mayo/ref: https://github.com/PQCMayo/MAYO-C@74de637a7c4a7f9fafa888183bc05f5cf920cd2d
#   schemes/mldsa/ref: https://github.com/pq-crystals/dilithium.git@6e00625c5b29f516c6de973fe2ee2fbb150973f9
#   schemes/mqom/ref: https://github.com/mqom/mqom-v3@d9c64e386b186ee186684a0389fc32009bd67cd1
#   schemes/qruov/ref: https://github.com/qruov/round2.git@787f8dba4c158f713d3351e7531edbec4afddf97
#   schemes/sdith/ref: https://github.com/sdith/sdith@fff41ae5b12ba3c6b90d8f97b2ede57aa277a92f
#   schemes/sdith2/ref: https://github.com/sdith/sdith@ce7adf06476674d4ff990f378f83f9981cd6745b
#   schemes/slhdsa/ref: https://github.com/pq-code-package/slhdsa-c@fac08b7d0a93849de0ee163c63712395e012b38c
#   schemes/snova/ref: https://github.com/PQCLAB-SNOVA/SNOVA.git@9b29c1e332cbd85757c8d6362a57b9a8c8298a38
#   schemes/sqisign/ref: https://github.com/SQISign/the-sqisign@6d017708db403bf83977fa70770fc4f7f9e9ff21
#   schemes/uov/ref: https://github.com/pqov/pqov.git@fac2ec1fe6d8ea508eab4b98eb5341e1eed930a4
#
# cyclecounter: rdpmc CPU_CYCLES (real core cycles, user-space)
scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
FAEST-EM-256s                   50            4543         2.3        44049097     11758.9        41306417     11018.8
FAEST-EM-256f                  500            3019         1.9         8067708      2161.3         6138123      1637.7
SDitH-Hypercube-L1-GF256        50        11265517      2989.2        12524014      3333.7        11663719      3094.1
SDitH-Hypercube-L1-P251         50         7571024      2011.2        23699740      6300.1        22711700      6038.7
SDitH-Hypercube-L3-GF256        50        13322657      3559.1        29646882      7861.9        27107731      7214.2
SDitH-Hypercube-L3-P251         50         9209405      2443.5        51253276     13659.6        48882958     13020.5
SDitH-Hypercube-L5-GF256        50        23143687      6151.5        57792583     15342.6        53584460     14235.6
SDitH-Hypercube-L5-P251         50        15906863      4218.3        94743511     25279.6        90937574     24259.9
SDitH-Threshold-L1-GF256        50         3999086      1060.4        38853056     10303.3         5839370      1548.8
SDitH-Threshold-L1-P251         50         1564577       414.2         5574421      1485.7          679654       180.4
SDitH-Threshold-L3-GF256        50         5078267      1347.8       101027061     26786.6        18909061      5015.6
SDitH-Threshold-L3-P251         50         2030383       541.4        13389283      3580.2         1640724       436.6
SDitH-Threshold-L5-GF256        50         8847427      2346.4       191844298     50920.0        42727443     11330.6
SDitH-Threshold-L5-P251         50         3527193       936.2        29006113      7703.4         3506841       931.2
SDitH2-L1-gf2-short             50           81208        22.5         9305331      2464.5         8295645      2218.9
SDitH2-L1-gf2-fast              50           81154        22.5         1991409       531.5         1706443       450.2
SDitH2-L3-gf2-short             50          129481        35.2        42438614     11259.5        41732848     11069.5
SDitH2-L3-gf2-fast              50          122875        33.5         9557976      2534.3         8964371      2378.5
SDitH2-L5-gf2-short             50          199943        53.9        65854817     17475.1        65061426     17265.4
SDitH2-L5-gf2-fast              50          191833        51.6        14344463      3807.0        13487371      3580.4
SNOVA_I_K                     1000          166235        44.9          621407       164.9          231915        62.3
SNOVA_I_B                     1000          290142        77.5          664958       176.2          211752        56.9
SNOVA_I_S                     1000          230434        61.8          490511       130.3          188406        50.8
SNOVA_III_K                   1000          676095       179.2         1339974       357.7          483866       128.8
SNOVA_III_B                   1000          583434       154.7         1456257       388.3          484839       129.3
SNOVA_III_S                   1000          694975       184.1         1698112       453.6          501985       133.5
SNOVA_V_K                     1000         4295241      1141.9         3553652       946.2         1043073       276.5
SNOVA_V_B                     1000         5670938      1507.0         3515458       935.5          797376       211.3
SNOVA_V_S                     1000         6976014      1854.2         3758087       999.4          789141       209.3
UOV-Ip-pkc                     100         1634314       435.7           53920        15.4          161816        43.8
UOV-Ip-classic                 100         1651518       439.8           52122        14.9           62315        17.6
UOV-Is-pkc                     100         1956595       522.0           59603        16.9          176366        47.6
UOV-Is-classic                 100         2208602       589.0           62981        17.8           40137        11.7
UOV-III-pkc                     50         8807663      2344.0          161913        46.7          623334       167.4
UOV-III-classic                 50         8237744      2194.2          152793        44.3          217496        60.4
UOV-V-pkc                       50        19271508      5135.2          434343       120.5         1543296       411.1
UOV-V-classic                   50        22895148      6099.8          458398       126.8          424454       115.5
QR-UOV-I-(127,156,54,3)        200        14594706      3870.8         4419431      1172.3         3839363      1019.4
QR-UOV-I-(31,165,60,3)         200        20570053      5456.8         6302939      1672.8         5521774      1464.8
QR-UOV-I-(31,600,70,10)        200        54166310     14365.1        23962174      6355.4        25174400      6678.1
QR-UOV-I-(7,740,100,10)        200       166127620     44067.9        69460247     18429.7        69682170     18487.1
QR-UOV-III-(127,228,78,3)      100        56280246     14923.1        15244564      4043.5        13414704      3556.4
QR-UOV-III-(31,246,87,3)       100        80114262     21245.0        21029265      5576.1        18588326      4929.6
QR-UOV-III-(31,890,100,10)     100       191363846     50766.5        76840293     20383.6        78019677     20701.1
QR-UOV-III-(7,1100,140,10)     100       523424870    138882.1       217950266     57847.2       215029388     57066.7
QR-UOV-V-(127,306,105,3)        50       180015647     47746.9        34372587      9118.4        29716230      7881.1
QR-UOV-V-(31,324,114,3)         50       238034810     63149.4        47425558     12577.2        41814577     11088.0
QR-UOV-V-(31,1120,120,10)       50       361361049     95864.4       144789992     38408.8       144989092     38468.6
QR-UOV-V-(7,1490,190,10)        50      1455470951    387422.8       533772005    142656.1       522884365    138960.3
MQOM3-L1-gf2-shorter-ct        200          153072        41.6         9426254      2520.3         6739315      1801.9
MQOM3-L1-gf2-shorter-ot        200          157664        42.9        13595706      3635.8        13063601      3514.1
MQOM3-L1-gf16-short-ct         200           56164        16.1         3028954       807.1         3458584       921.5
MQOM3-L1-gf16-short-ot         200           57758        16.5         3389257       905.9         3374853       899.3
MQOM3-L1-gf16-fast-ct          200           79577        22.1         1021456       272.9         1097231       293.4
MQOM3-L1-gf16-fast-ot          200           79918        22.2         1150678       307.5         1094451       289.9
MQOM3-L3-gf2-shorter-ct        100         1321032       356.9        27234294      7269.7        26224499      6968.2
MQOM3-L3-gf2-shorter-ot        100         1320942       359.4        36426518      9739.7        33144286      8857.8
MQOM3-L3-gf16-short-ct         100          348514        95.5        14078184      3751.6        15336489      4076.9
MQOM3-L3-gf16-short-ot         100          354551        97.3        20354873      5446.5        18437684      4924.3
MQOM3-L3-gf16-fast-ct          100          411583       109.5         4268958      1134.2         4483844      1190.2
MQOM3-L3-gf16-fast-ot          100          402185       107.1         4967447      1320.7         4769488      1265.9
MQOM3-L5-gf2-shorter-ct         50         2701624       724.1        41233143     10994.9        46130507     12275.1
MQOM3-L5-gf2-shorter-ot         50         2691458       722.0        51406739     13706.3        49700771     13245.2
MQOM3-L5-gf16-short-ct          50          603055       160.3        17404520      4656.2        20892858      5571.8
MQOM3-L5-gf16-short-ot          50          571280       155.5        23349514      6261.0        22672616      6053.1
MQOM3-L5-gf16-fast-ct           50          642343       170.3         7104773      1887.1         7525849      1998.4
MQOM3-L5-gf16-fast-ot           50          640843       169.9         8944250      2375.9         7705871      2048.7
SQIsign-I                       50        33107465      8782.6        97816602     25956.8        12150906      3224.7
SQIsign-III                     50       112666535     29874.6       373523067     99281.3        31558355      8369.4
SQIsign-V                       50       230934322     61235.6       789867523    209684.2        76992104     20415.2

