# pq-sigs benchmark results
# date:         2026-09-18T14:59:25Z
# host:         ip-172-31-6-129
# os:           Ubuntu 26.04.1 LTS
# kernel:       7.0.0-1012-aws
# cpu:          Intel(R) Xeon(R) Platinum 8488C
# cores:        16 (threads/core: 2)
# max_freq_mhz: unknown (cur: unknown MHz)
# governor:     unknown
# turbo:        unknown
# flags:        fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 ss ht syscall nx pdpe1gb rdtscp lm constant_tsc arch_perfmon rep_good nopl xtopology nonstop_tsc cpuid aperfmperf tsc_known_freq pni pclmulqdq monitor ssse3 fma cx16 pdcm pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm abm 3dnowprefetch cpuid_fault ssbd ibrs ibpb stibp ibrs_enhanced fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx_vnni avx512_bf16 wbnoinvd ida arat avx512vbmi umip pku ospke waitpkg avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg tme avx512_vpopcntdq rdpid cldemote movdiri movdir64b md_clear serialize amx_bf16 avx512_fp16 amx_tile amx_int8 flush_l1d arch_capabilities
#
# compiler:     cc (Ubuntu 15.2.0-16ubuntu1) 15.2.0
# openssl:      OpenSSL 3.5.5 27 Jan 2026 (Library: OpenSSL 3.5.5 27 Jan 2026)
# sources:
#   schemes/faest/ref: https://github.com/faest-sign/faest-arch-opt@1d8330979cb467c54edac43ffe695da249fa3417
#   schemes/fndsa/ref: https://github.com/pornin/c-fn-dsa@33026d4d2734049a23f065f77eea11c35de58d76
#   schemes/hawk/ref: https://github.com/hawk-sign/dev@1b9fef52559273fe7b40fe3e22968eaedd3a4c2a
#   schemes/mayo/ref: https://github.com/PQCMayo/MAYO-C@74de637a7c4a7f9fafa888183bc05f5cf920cd2d
#   schemes/mldsa/ref: https://github.com/pq-crystals/dilithium.git@6e00625c5b29f516c6de973fe2ee2fbb150973f9
#   schemes/mqom/ref: https://github.com/mqom/mqom-v3@d9c64e386b186ee186684a0389fc32009bd67cd1
#   schemes/qruov/ref: https://github.com/qruov/round2.git@787f8dba4c158f713d3351e7531edbec4afddf97
#   schemes/sdith/ref: https://github.com/sdith/sdith@fff41ae5b12ba3c6b90d8f97b2ede57aa277a92f
#   schemes/sdith2/ref: https://github.com/sdith/sdith@ce7adf06476674d4ff990f378f83f9981cd6745b
#   schemes/slhdsa/ref: https://github.com/pq-code-package/slhdsa-c@fac08b7d0a93849de0ee163c63712395e012b38c
#   schemes/snova/ref: https://github.com/PQCLAB-SNOVA/SNOVA.git@9b29c1e332cbd85757c8d6362a57b9a8c8298a38
#   schemes/sqisign/ref: https://github.com/SQISign/the-sqisign@6d017708db403bf83977fa70770fc4f7f9e9ff21
#   schemes/uov/ref: https://github.com/pqov/pqov.git@fac2ec1fe6d8ea508eab4b98eb5341e1eed930a4
#
# cyclecounter: rdpmc CPU_CYCLES (real core cycles, user-space)
scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
ML-DSA-44                     1000           74000        20.9          172688        47.4           77806        21.7
ML-DSA-65                     1000          126630        34.9          281401        76.3          127437        34.8
ML-DSA-87                     1000          199796        54.1          361220        97.6          201115        54.2
SLH-DSA-SHA2-128s               50       199914074     53343.3      1524455994    406767.8         1524559       408.2
SLH-DSA-SHAKE-128s              50       266153048     70945.5      2073110293    552750.2         2081737       553.6
SLH-DSA-SHA2-128f               50         3123067       829.8        73157355     19505.1         4402268      1169.4
SLH-DSA-SHAKE-128f              50         4362087      1164.5       102776777     27360.8         6116672      1627.5
SLH-DSA-SHA2-192s               50       296736416     79176.4      2743720489    732058.8         2274796       606.1
SLH-DSA-SHAKE-192s              50       390872918    104307.5      3683046283    982673.3         3015074       807.6
SLH-DSA-SHA2-192f               50         4638695      1234.9       121900504     32537.9         6584841      1755.8
SLH-DSA-SHAKE-192f              50         6157879      1645.7       163307902     43609.0         8670143      2307.4
SLH-DSA-SHA2-256s               50       193676692     51656.8      2404861216    641612.9         3293219       879.7
SLH-DSA-SHAKE-256s              50       262570182     70081.2      3370617075    898591.8         4475360      1196.2
SLH-DSA-SHA2-256f               50        12102639      3229.5       247014931     65933.9         6590544      1768.1
SLH-DSA-SHAKE-256f              50        17052248      4549.0       351009772     93666.4         9148962      2443.8
FN-DSA-512                    1000         9423063      2525.2          599134       163.0           61065        19.3
FN-DSA-1024                   1000        35555881      9488.2         1191015       320.2          113746        33.2
RSA-2048 (PSS)                 200       118023375     31571.8         1901760       527.4           72346        22.5
RSA-3072 (PSS)                  50       425873514    113640.5         4359470      1185.9          145409        39.4
RSA-4096 (PSS)                  50      1294883893    345601.5         8098706      2192.0          239199        64.2
ECDSA-P256 (SHA-256)          1000           54878        15.8           80076        22.4          237328        63.7
ECDSA-P384 (SHA-384)          1000          465123       124.5          606089       162.0         1380511       368.2
ECDSA-P521 (SHA-512)          1000          444403       118.9          772278       205.7         1469921       393.3
Ed25519                       1000          123812        33.9          123592        33.7          333129        89.1
Ed448                         1000          504070       134.6          510127       135.9          652223       173.7
HAWK-512                      1000         4381644      1185.7           78461        21.8           88602        24.5
HAWK-1024                     1000        32126287      8577.0          185258        51.9          184025        51.0
MAYO-one                      1000          155985        42.3          443634       119.0          212066        57.1
MAYO-two                      1000          137078        37.4          212596        57.3           94864        26.2
MAYO-three                    1000          391861       104.4          951076       254.1          450977       120.2
MAYO-five                     1000          887158       235.8         2005891       537.0          942045       249.9
FAEST-128s                     200            2272         1.7        10074511      3065.4         8531813      2640.9
FAEST-128f                    1000            1079         1.4         1590598       427.0         1151268       309.7
FAEST-EM-128s                  200            1676         1.6         6916877      1846.1         5709038      1524.6
FAEST-EM-128f                 1000            1078         1.4         1332863       357.0          886731       236.1
FAEST-192s                     100            4065         2.2        39658114     11710.1        33103051      9928.0
FAEST-192f                    1000            2175         1.7         6785010      1830.6         5278505      1412.6
FAEST-EM-192s                  100            4119         2.2        27568355      8472.7        25804442      7982.4
FAEST-EM-192f                 1000            2361         1.7         4430270      1192.5         3348953       892.8
FAEST-256s                      50            4048         2.2        55966802     17215.0        54171950     16711.0
FAEST-256f                     500            3042         1.9         9550252      2584.1         7560604      2021.5
