scheme                        keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                        ------------  -----------      ----------   ---------    ------------  ----------
FAEST-EM-256f                        76005        50.8       102894100     68707.8        72893096     48674.4
SDitH-Hypercube-L1-GF256           6256415      4177.8         6965201      4651.1         6327323      4225.1
SDitH-Hypercube-L1-P251            4305733      2875.2        11674578      7795.8        11051627      7379.8
SDitH-Hypercube-L3-GF256           6983635      4663.4        14133044      9437.4        13575748      9065.2
SDitH-Hypercube-L3-P251            5380801      3593.1        28888246     19290.4        26717181     17840.6
SDitH-Hypercube-L5-GF256          12555275      8383.4        29817735     19910.8        28261364     18871.6
SDitH-Hypercube-L5-P251            9126214      6094.0        46561409     31091.7        43811563     29255.4
SDitH-Threshold-L1-GF256           2306111      1539.9        19779593     13207.9         2945265      1966.7
SDitH-Threshold-L1-P251            1048605       700.2         3008990      2009.3          336510       224.7
SDitH-Threshold-L3-GF256           2829836      1889.6        51664022     34498.7         9892350      6605.7
SDitH-Threshold-L3-P251            1263007       843.4         6752485      4509.0          785804       524.8
SDitH-Threshold-L5-GF256           5119602      3418.3       100066585     66819.8        22246025     14854.7
SDitH-Threshold-L5-P251            2060385      1375.9        14133487      9437.7         1730972      1155.9
SDitH2-L1-gf2-short                 701423       468.4        16710410     11158.4        14672938      9797.9
SDitH2-L1-gf2-fast                  634223       423.5         4328831      2890.6         4104292      2740.7
SDitH2-L3-gf2-short                2458306      1641.7        95293224     63632.4        91977877     61418.6
SDitH2-L3-gf2-fast                 2441955      1630.7        15304021     10219.4        13766960      9193.0
SDitH2-L5-gf2-short                3637812      2429.2       135967725     90792.8       131256313     87646.6
SDitH2-L5-gf2-fast                 3388650      2262.8        21158837     14128.9        18432097     12308.1
SNOVA-24-5-16-4                     133795        89.4          576635       385.1          156279       104.4
SNOVA-28-5-19-4                     175298       117.1          345957       231.1          157563       105.2
SNOVA-48-17-16-2                    725286       484.4         1233274       823.6          301551       201.4
SNOVA-48-16-19-2                    932611       622.8          583455       389.7          309517       206.7
SNOVA-28-4-16-4x5                   209371       139.8          588485       393.0          295093       197.1
SNOVA-28-4-19-4x5                   228495       152.6          530239       354.1          190133       127.0
SNOVA-40-7-19-4                     588655       393.1          893751       596.9          420975       281.2
SNOVA-37-8-16-4                     621762       415.2         1576596      1052.8          455047       303.9
SNOVA-72-25-16-2                   3506096      2341.3         4431607      2959.3          995536       665.0
SNOVA-38-5-16-4x5                   399570       266.8         1277299       853.1          673888       450.1
SNOVA-38-5-19-4x5                   680837       454.7         1145847       765.2          450631       301.0
SNOVA-50-9-19-4                    1320254       881.7         1778074      1187.4          798409       533.2
SNOVA-60-10-16-4                   2271499      1516.8         4574330      3054.6         1312834       876.8
SNOVA-97-33-16-2                  10077310      6729.4        12324747      8230.0         2481048      1656.9
UOV-Ip-pkc                         1146464       765.6           38119        25.5           72946        48.7
UOV-Ip-classic                     1140329       761.5           37181        24.8           29432        19.7
UOV-Is-pkc                         1794706      1198.4           40377        27.0           82838        55.3
UOV-Is-classic                     1599641      1068.2           32886        22.0           20125        13.4
UOV-III-pkc                        7005487      4677.9          127662        85.3          323543       216.1
UOV-III-classic                    5832951      3895.0          103020        68.8           83753        55.9
UOV-V-pkc                         19910079     13295.1          268097       179.1          793831       530.2
