scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
FAEST-256f                     500             866         0.6         5052037      3373.6         4979330      3325.0
FAEST-EM-256s                   50            1466         1.0        29842048     19927.4        28748085     19196.8
FAEST-EM-256f                  500             883         0.6         4160441      2778.2         4254577      2841.0
SDitH-Hypercube-L1-GF256        50         5949125      3972.7         6922554      4622.7         6227432      4158.4
SDitH-Hypercube-L1-P251         50         4017090      2682.4        11128159      7430.9        10665932      7122.2
SDitH-Hypercube-L3-GF256        50         7290739      4868.5        15309796     10223.3        14707373      9820.9
SDitH-Hypercube-L3-P251         50         5148577      3438.1        25320623     16908.0        25151953     16795.3
SDitH-Hypercube-L5-GF256        50        11331472      7566.6        26063278     17403.9        24341428     16254.1
SDitH-Hypercube-L5-P251         50         8781172      5863.6        48240454     32213.0        46264195     30893.0
SDitH-Threshold-L1-GF256        50         2226169      1486.6        19071851     12735.2         2714448      1812.6
SDitH-Threshold-L1-P251         50          961733       642.2         2861028      1910.5          310761       207.5
SDitH-Threshold-L3-GF256        50         2808506      1875.4        50668072     33833.6         9278080      6195.5
SDitH-Threshold-L3-P251         50         1287387       859.7         6380905      4260.9          747273       499.0
SDitH-Threshold-L5-GF256        50         4787025      3196.6        93926243     62719.7        20737125     13847.3
SDitH-Threshold-L5-P251         50         2263727      1511.6        14984990     10006.3         1745880      1165.9
SDitH2-L1-gf2-short             50          734711       490.7        17291293     11546.3        14892491      9944.5
SDitH2-L1-gf2-fast              50          696407       465.1         5048960      3371.5         4429457      2957.9
SDitH2-L3-gf2-short             50         2430840      1623.3        91372140     61014.0        87561174     58469.1
SDitH2-L3-gf2-fast              50         2353513      1571.6        14821880      9897.4        13200599      8814.9
SDitH2-L5-gf2-short             50         3195388      2133.8       123589471     82527.1       119152280     79564.0
SDitH2-L5-gf2-fast              50         3479957      2323.8        21067315     14067.7        19694456     13151.0
SNOVA-24-5-16-4               1000          120423        80.4          521918       348.6          138006        92.2
SNOVA-28-5-19-4               1000          163912       109.5          320509       214.0          148914        99.5
SNOVA-48-17-16-2              1000          702659       469.3         1205862       805.3          284585       190.1
SNOVA-48-16-19-2              1000          917956       613.0          586529       391.7          305631       204.2
SNOVA-28-4-16-4x5             1000          195823       130.8          554666       370.4          271255       181.2
SNOVA-28-4-19-4x5             1000          228327       152.5          522064       348.6          197100       131.6
SNOVA-40-7-19-4               1000          540152       360.7          831776       555.5          400191       267.3
SNOVA-37-8-16-4               1000          629861       420.6         1612388      1076.7          456198       304.7
SNOVA-72-25-16-2              1000         3372737      2252.3         4295351      2868.3          975719       651.6
SNOVA-38-5-16-4x5             1000          385176       257.2         1214815       811.3          650734       434.6
SNOVA-38-5-19-4x5             1000          622145       415.7         1056269       705.4          413452       276.2
SNOVA-50-9-19-4               1000         1300385       868.4         1758159      1174.1          802412       536.0
SNOVA-60-10-16-4              1000         2233492      1491.5         4540477      3032.0         1287637       859.9
SNOVA-97-33-16-2              1000        10092469      6739.4        12420786      8294.2         2507124      1674.2
UOV-Ip-pkc                     100         1142672       763.1           37390        25.0           70625        47.2
UOV-Ip-classic                 100          874497       584.0           26714        17.9           21539        14.4
UOV-Is-pkc                     100         1798512      1201.1           41212        27.5           87061        58.1
UOV-Is-classic                 100         1706179      1139.3           39868        26.6           24118        16.1
UOV-III-pkc                     50         6512081      4348.5          119685        80.0          301654       201.5
UOV-III-classic                 50         6732206      4495.6          102660        68.7           92009        61.5
UOV-V-pkc                       50        15829527     10570.3          210485       140.6          602457       402.3
UOV-V-classic                   50        16419043     10964.0          225506       150.6          201132       134.3
QR-UOV-I-(127,156,54,3)        200        17797463     11884.3         2820894      1883.7         2377615      1587.7
QR-UOV-I-(31,165,60,3)         200        23986697     16017.2         3804781      2540.7         3250824      2170.8
QR-UOV-I-(31,600,70,10)        200        72249921     48245.2        17772842     11867.8        17392178     11613.8
QR-UOV-I-(7,740,100,10)        200       216306677    144439.0        46407068     30988.4        45006789     30053.4
QR-UOV-III-(127,228,78,3)      100        71838760     47970.7         8867588      5921.4         7788951      5201.1
QR-UOV-III-(31,246,87,3)       100        94694149     63232.2        11722500      7827.8        10232888      6833.0
QR-UOV-III-(31,890,100,10)     100       303936362    202953.7        58011609     38737.6        57269641     38241.8
QR-UOV-III-(7,1100,140,10)     100       945435471    631316.2       155393501    103764.1       150776825    100682.1
QR-UOV-V-(127,306,105,3)        50       231137250    154342.8        21983934     14679.9        19144890     12784.1
QR-UOV-V-(31,324,114,3)         50       270527397    180645.6        27432202     18317.9        23907931     15965.0
QR-UOV-V-(31,1120,120,10)       50       697781904    465946.0       112564118     75165.2       106580600     71170.1
QR-UOV-V-(7,1490,190,10)        50      3160630695   2110517.3       394826255    263646.4       370769524    247582.6
MQOM2-L1-gf2-fast-r3           200          280291       187.2         2008184      1341.0         1649382      1101.5
MQOM2-L1-gf2-fast-r5           200          314561       210.1         2183838      1458.3         1835191      1225.5
MQOM2-L1-gf2-short-r3          200          370420       247.4         4098043      2736.6         3395014      2267.1
MQOM2-L1-gf2-short-r5          200          371303       247.9         4014922      2681.1         3430965      2291.1
MQOM2-L1-gf16-fast-r3          200          108052        72.2         1470821       982.3         1114973       744.6
MQOM2-L1-gf16-fast-r5          200           91547        61.1         1111330       742.1          906693       605.5
MQOM2-L1-gf16-short-r3         200          101051        67.5         4124924      2754.6         2962471      1978.4
MQOM2-L1-gf16-short-r5         200           96118        64.2         3494451      2333.5         2789679      1862.8
