scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
FAEST-EM-256s                   50            4743         2.4        43978176     11747.2        41432289     11054.8
FAEST-EM-256f                  500            3081         1.9         8077989      2165.8         6146193      1643.0
SDitH-Hypercube-L1-GF256        50        11257900      2987.8        12579632      3349.6        11661376      3093.6
SDitH-Hypercube-L1-P251         50         7570391      2012.2        23671031      6288.6        22710763      6040.8
SDitH-Hypercube-L3-GF256        50        13328578      3562.4        29665142      7869.3        27131366      7220.8
SDitH-Hypercube-L3-P251         50         9204141      2442.2        51133647     13622.8        48726254     12984.8
SDitH-Hypercube-L5-GF256        50        23131996      6148.6        57518048     15270.8        53286886     14161.6
SDitH-Hypercube-L5-P251         50        15901352      4216.9        94373330     25165.9        90465541     24072.1
SDitH-Threshold-L1-GF256        50         3999878      1060.8        38918918     10319.9         5830382      1546.0
SDitH-Threshold-L1-P251         50         1563821       413.0         5580069      1481.9          679169       180.4
SDitH-Threshold-L3-GF256        50         5073797      1346.7       101006745     26784.5        18927730      5020.2
SDitH-Threshold-L3-P251         50         2033692       541.6        13388936      3577.2         1639096       434.7
SDitH-Threshold-L5-GF256        50         8845962      2346.4       191849733     50960.9        42719236     11332.8
SDitH-Threshold-L5-P251         50         3529523       936.7        29010899      7704.6         3510577       931.9
SDitH2-L1-gf2-short             50           81255        22.5         9368145      2488.2         8275548      2211.9
SDitH2-L1-gf2-fast              50           81144        22.5         1990220       525.3         1710064       458.2
SDitH2-L3-gf2-short             50          127734        34.8        42405578     11256.9        41731080     11072.2
SDitH2-L3-gf2-fast              50          122200        33.3         9577363      2543.5         8965080      2377.4
SDitH2-L5-gf2-short             50          198097        53.3        65836779     17481.5        65062480     17264.1
SDitH2-L5-gf2-fast              50          190774        51.3        14317062      3802.3        13487767      3581.4
SNOVA_I_K                     1000          361569        96.3          851092       225.3          393937       104.9
SNOVA_I_B                     1000          371449        98.9          911821       241.4          351847        93.8
SNOVA_I_S                     1000          299309        79.9          603970       160.1          263393        70.5
SNOVA_III_K                   1000          873957       231.8         1778734       474.2          836019       221.6
SNOVA_III_B                   1000          753507       199.5         2001535       533.8          820919       217.3
SNOVA_III_S                   1000          873579       231.1         2146670       571.8          842558       222.9
SNOVA_V_K                     1000         4584937      1218.4         4169421      1110.2         1552891       411.6
SNOVA_V_B                     1000         5922823      1574.1         4191766      1115.2         1293744       342.0
SNOVA_V_S                     1000         7217634      1917.3         4281053      1139.8         1598344       423.2
UOV-Ip-pkc                     100         2459756       654.9           83873        23.3          162595        44.0
UOV-Ip-classic                 100         2485033       660.0           83915        23.3           62125        17.5
UOV-Is-pkc                     100         3145906       840.2           74224        20.8          168932        45.7
UOV-Is-classic                 100         3108719       826.6           72778        20.4           52896        15.1
UOV-III-pkc                     50        13157050      3498.8          245768        66.6          637573       169.9
UOV-III-classic                 50        13599591      3619.3          247895        67.0          219180        59.9
UOV-V-pkc                       50        37581422     10023.5          558126       150.6         1485357       395.4
UOV-V-classic                   50        36691867      9780.6          544460       146.3          454407       122.4
QR-UOV-I-(127,156,54,3)        200        32129035      8519.7         5375036      1425.4         4641513      1231.0
QR-UOV-I-(31,165,60,3)         200        48812589     12945.2         7659263      2033.6         6593661      1750.0
QR-UOV-I-(31,600,70,10)        200       148906543     39487.7        37266060      9883.9        36345067      9638.9
QR-UOV-I-(7,740,100,10)        200       514618766    136484.3       102836063     27281.3        98389102     26099.5
QR-UOV-III-(127,228,78,3)      100       153381246     40670.1        18056580      4791.6        15653916      4154.6
QR-UOV-III-(31,246,87,3)       100       213435598     56602.3        25546518      6776.8        22456352      5959.9
QR-UOV-III-(31,890,100,10)     100       602771313    159859.9       118657389     31467.5       115677924     30680.0
QR-UOV-III-(7,1100,140,10)     100      2047038536    543222.3       324304241     86037.1       312380263     82879.9
QR-UOV-V-(127,306,105,3)        50       528407209    140182.9        44704702     11853.4        37444005      9932.3
QR-UOV-V-(31,324,114,3)         50       678899591    180113.3        59195893     15698.8        50574346     13417.3
QR-UOV-V-(31,1120,120,10)       50      1475170367    391277.4       237278865     62944.5       229518231     60888.1
QR-UOV-V-(7,1490,190,10)        50      6633059142   1760131.7       802703548    213073.9       757044740    200907.8
MQOM3-L1-gf2-shorter-ct        200          189630        51.3        41344074     11004.5         7900207      2100.3
MQOM3-L1-gf2-shorter-ot        200          220751        59.7        52588963     13991.1        26982819      7174.8
MQOM3-L1-gf16-short-ct         200           62961        17.8        11100035      2953.3        11974324      3178.1
MQOM3-L1-gf16-short-ot         200           64051        18.1        15002290      3985.2        15324030      4081.9
MQOM3-L1-gf16-fast-ct          200           81242        22.6         5235887      1391.3         5220794      1386.8
MQOM3-L1-gf16-fast-ot          200           80800        22.5         6012045      1604.3         5828726      1548.9
MQOM3-L3-gf2-shorter-ct        100         1436760       382.6       124169393     32987.7       120271156     31923.4
MQOM3-L3-gf2-shorter-ot        100         1467778       389.3       154728973     41066.5       153163536     40652.6
MQOM3-L3-gf16-short-ct         100          374256        99.8        39434008     10479.7        40087470     10638.7
MQOM3-L3-gf16-short-ot         100          389001       103.7        57691628     15323.2        56364260     14960.9
MQOM3-L3-gf16-fast-ct          100          424465       112.9        18123117      4807.3        18189807      4824.9
MQOM3-L3-gf16-fast-ot          100          425706       113.2        21114358      5601.8        20753678      5502.8
MQOM3-L5-gf2-shorter-ct         50         2948109       789.2       259218591     69232.8       257518445     68554.2
MQOM3-L5-gf2-shorter-ot         50         2843481       761.0       297818035     79922.0       290271507     77511.3
MQOM3-L5-gf16-short-ct          50          653375       174.2        75327966     20085.3        76674530     20464.9
MQOM3-L5-gf16-short-ot          50          670136       180.0        95121388     25447.6        94788720     25302.5
MQOM3-L5-gf16-fast-ct           50          697735       185.3        38583429     10304.8        38067029     10169.0
MQOM3-L5-gf16-fast-ot           50          699912       185.8        43124163     11568.8        41198394     11004.9
SQIsign-I                       50        33460662      8978.3        98018454     26226.1        12128627      3246.7
SQIsign-III                     50       116241702     31061.4       349744762     93377.6        31566108      8435.5
SQIsign-V                       50       232690286     62536.6       765358616    204347.4        77413018     20698.5

