scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
FAEST-256f                      50            1891         1.3       128934302     86096.1        98006979     65444.3
FAEST-EM-256s                   50           94410        62.6       160130572    106927.9       122945113     82096.9
FAEST-EM-256f                   50           89250        59.6       110723907     73936.2        76922955     51365.7
SDitH-Hypercube-L1-GF256        50         6923066      4622.9         7054331      4710.6         6899797      4607.4
SDitH-Hypercube-L1-P251         50         4378432      2923.7        12175504      8130.3        11814976      7889.5
SDitH-Hypercube-L3-GF256        50         7321720      4889.1        14979764     10002.9        13994553      9344.9
SDitH-Hypercube-L3-P251         50         5235345      3496.0        26525238     17712.4        25538010     17053.2
SDitH-Hypercube-L5-GF256        50        11771331      7860.5        27965981     18674.4        26243615     17524.3
SDitH-Hypercube-L5-P251         50         8153537      5444.6        44319201     29594.2        42045470     28076.1
SDitH-Threshold-L1-GF256        50         2452123      1637.4        21355531     14260.2         3188992      2129.5
SDitH-Threshold-L1-P251         50          978158       653.2         2765064      1846.4          316156       211.1
SDitH-Threshold-L3-GF256        50         2684693      1792.7        48983282     32708.9         9184619      6133.1
SDitH-Threshold-L3-P251         50         1288865       860.7         6871518      4590.1          808292       539.8
SDitH-Threshold-L5-GF256        50         4996385      3336.4        99796414     66639.1        22283418     14879.8
SDitH-Threshold-L5-P251         50         2263370      1511.5        15241067     10177.3         1791392      1196.2
SDitH2-L1-gf2-short             50          707726       472.6        16127090     10768.9        14695967      9813.3
SDitH2-L1-gf2-fast              50          562139       375.4         4089348      2730.7         3715818      2481.3
SDitH2-L3-gf2-short             50         2376953      1587.1        92585572     61824.5        89121698     59511.1
SDitH2-L3-gf2-fast              50         1975218      1319.0        12734513      8503.5        11655508      7783.1
SDitH2-L5-gf2-short             50         3743775      2500.1       133156438     88915.3       127722206     85286.5
SDitH2-L5-gf2-fast              50         3416843      2281.6        20783450     13878.2        18994335     12683.5
SNOVA-24-5-16-4               1000          119107        79.6          515187       344.0          135705        90.6
SNOVA-28-5-19-4               1000          174496       116.6          341735       228.2          157741       105.3
SNOVA-48-17-16-2              1000          717132       479.0         1230736       821.9          291652       194.8
SNOVA-48-16-19-2              1000          999674       667.6          648604       433.2          341647       228.2
SNOVA-28-4-16-4x5             1000          203379       135.8          574351       383.6          284954       190.3
SNOVA-28-4-19-4x5             1000          235984       157.6          534936       357.3          202328       135.1
SNOVA-40-7-19-4               1000          552740       369.1          846138       565.0          404113       269.9
SNOVA-37-8-16-4               1000          604637       403.8         1574995      1051.8          436812       291.8
SNOVA-72-25-16-2              1000         3387287      2262.1         4276084      2855.4          969341       647.4
SNOVA-38-5-16-4x5             1000          383836       256.3         1210069       808.1          647386       432.3
SNOVA-38-5-19-4x5             1000          657992       439.4         1099326       734.2          434623       290.2
SNOVA-50-9-19-4               1000         1283366       857.0         1715414      1145.6          790004       527.6
SNOVA-60-10-16-4              1000         2293209      1531.4         4686721      3129.7         1320182       881.6
SNOVA-97-33-16-2              1000         9368478      6255.9        11420691      7626.3         2312204      1544.0
UOV-Ip-pkc                     100         1012947       676.4           32539        21.7           66070        44.1
UOV-Ip-classic                 100         1068588       713.7           34631        23.1           25759        17.2
UOV-Is-pkc                     100         1603955      1071.1           35852        24.0           79617        53.2
UOV-Is-classic                 100         1713867      1144.5           37432        25.0           20160        13.5
