scheme                       iters    keygen (cyc)  keygen (us)      sign (cyc)   sign (us)    verify (cyc)  verify (us)
------                       -----    ------------  -----------      ----------   ---------    ------------  ----------
FAEST-EM-256s                   50            4780         1.8        60646508     22089.4        59153393     20692.4
FAEST-EM-256f                  500            1833         0.7         8620955      2999.0         8449408      2956.0
SDitH-Hypercube-L1-GF256        50        12112186      4281.8        13499640      4834.8        12728719      4429.1
SDitH-Hypercube-L1-P251         50         8331099      2934.9        23181809      8111.7        22339604      7792.4
SDitH-Hypercube-L3-GF256        50        14364496      4770.6        32014600     10088.1        29650252      9260.3
SDitH-Hypercube-L3-P251         50        10079431      3852.9        50896914     19187.4        48850608     18101.2
SDitH-Hypercube-L5-GF256        50        24765392      8975.1        61875297     21284.3        57736851     20249.0
SDitH-Hypercube-L5-P251         50        17416768      6232.1        93269769     33800.3        89480731     32351.2
SDitH-Threshold-L1-GF256        50         4436875      1403.6        39811293     11999.6         5953350      1890.8
SDitH-Threshold-L1-P251         50         1944619       676.5         5535055      1908.9          639925       216.5
SDitH-Threshold-L3-GF256        50         5585916      2100.0       104393777     38940.1        19334930      7200.3
SDitH-Threshold-L3-P251         50         2469906       898.5        13058338      4870.3         1560006       588.7
SDitH-Threshold-L5-GF256        50         9745913      3820.4       198025694     76023.4        44321321     16962.6
SDitH-Threshold-L5-P251         50         4326903      1521.4        28772141     10272.2         3377626      1205.7
SDitH2-L1-gf2-short             50         1403680       460.7        31642780     10712.4        29149926      9334.3
SDitH2-L1-gf2-fast              50         1388083       509.8         9320513      3525.4         8615668      3206.8
SDitH2-L3-gf2-short             50         5019090      1681.7       191873581     63764.8       184836695     61653.7
SDitH2-L3-gf2-fast              50         4879377      1652.0        28762901      9945.7        26868817      9321.2
SDitH2-L5-gf2-short             50         7451746      2553.6       272412039     93789.3       262117339     89577.6
SDitH2-L5-gf2-fast              50         7339108      2541.5        43335217     15657.6        40402655     14464.6
SNOVA-24-5-16-4               1000          241186        89.4         1036528       387.9          279095       103.5
SNOVA-28-5-19-4               1000          330437       122.4          645732       238.7          302404       112.0
SNOVA-48-17-16-2              1000         1392545       508.1         2357992       866.0          555671       203.7
SNOVA-48-16-19-2              1000         1815653       623.4         1151788       395.5          610992       208.2
SNOVA-28-4-16-4x5             1000          394677       139.3         1100819       395.4          563159       200.5
SNOVA-28-4-19-4x5             1000          438173       154.6         1004778       357.8          372245       130.4
SNOVA-40-7-19-4               1000         1091475       437.5         1657269       673.9          800133       321.9
SNOVA-37-8-16-4               1000         1219532       429.6         3098436      1119.4          885119       314.8
SNOVA-72-25-16-2              1000         6773875      2410.1         8878831      3116.9         1899183       696.9
SNOVA-38-5-16-4x5             1000          745124       267.5         2344330       839.3         1264583       451.9
SNOVA-38-5-19-4x5             1000         1284298       464.8         2143304       781.7          853338       310.7
SNOVA-50-9-19-4               1000         2556124       910.4         3404140      1217.0         1588100       560.8
SNOVA-60-10-16-4              1000         4477557      1635.6         9073455      3329.3         2594429       944.1
SNOVA-97-33-16-2              1000        20348579      7116.3        25470835      8957.3         4839451      1741.2
UOV-Ip-pkc                     100         2258609       771.6           74983        26.4          143838        50.6
UOV-Ip-classic                 100         2278330       788.5           74865        26.4           57431        20.4
UOV-Is-pkc                     100         3560018      1169.7           77507        27.0          167239        55.4
UOV-Is-classic                 100         3443762      1260.1           75551        28.3           47267        17.2
UOV-III-pkc                     50        13382398      5147.0          233913        94.3          591720       238.8
UOV-III-classic                 50        13062760      5809.2          227883       100.2          192336        88.3
UOV-V-pkc                       50        34992051     14594.0          503238       210.7         1373319       563.0
UOV-V-classic                   50        32473219     13280.0          467660       193.5          465685       184.2
QR-UOV-I-(127,156,54,3)        200        35713237     16300.2         5717905      2553.3         4846746      2187.5
QR-UOV-I-(31,165,60,3)         200        49897062     17953.4         7867493      2841.1         6728953      2425.9
QR-UOV-I-(31,600,70,10)        200       150042748     51058.5        37157493     12904.5        36233585     12531.0
QR-UOV-I-(7,740,100,10)        200       474630162    161338.6       100065659     33840.7        97224106     32694.7
QR-UOV-III-(127,228,78,3)      100       146500650     49408.2        18381600      6242.6        15953816      5432.7
QR-UOV-III-(31,246,87,3)       100       215708389     72042.9        27014543      8928.3        23632841      8034.1
QR-UOV-III-(31,890,100,10)     100       636858394    212385.7       122093861     41153.8       118493185     39520.2
QR-UOV-III-(7,1100,140,10)     100      1940961955    668331.1       320380130    110547.4       309656718    107348.1
QR-UOV-V-(127,306,105,3)        50       469116350    178781.6        45230209     16907.0        38944193     14445.1
QR-UOV-V-(31,324,114,3)         50       625102182    213125.0        60203296     20394.9        52408628     18285.4
QR-UOV-V-(31,1120,120,10)       50      1461052364    497434.9       234302526     80275.7       227363246     77394.9
QR-UOV-V-(7,1490,190,10)        50      6644767711   2256943.6       817182836    283787.0       763121640    264328.5
MQOM2-L1-gf2-fast-r3           200          573881       202.1         4326438      1524.5         3638114      1243.2
MQOM2-L1-gf2-fast-r5           200          572185       196.6         4026210      1391.6         3560636      1220.6
MQOM2-L1-gf2-short-r3          200          664254       230.7         7817880      2720.5         6552236      2241.8
MQOM2-L1-gf2-short-r5          200          673755       235.7         7864969      2796.3         6724583      2319.5
MQOM2-L1-gf16-fast-r3          200          210708        62.2         2758347       850.9         2218477       678.7
MQOM2-L1-gf16-fast-r5          200          210987        64.2         2578118       810.4         2086627       662.4
MQOM2-L1-gf16-short-r3         200          203213        69.2         8293781      2850.6         5997065      2054.4
MQOM2-L1-gf16-short-r5         200          206609        73.3         7159694      2611.4         5842277      2127.5
MQOM2-L1-gf256-fast-r3         200          203925        70.8         3559155      1221.2         2818308       966.0
MQOM2-L1-gf256-fast-r5         200          201965        68.0         3345259      1153.7         2557142       860.6
MQOM2-L1-gf256-short-r3        200          146705        45.5        10082667      3323.2         6761030      2183.4
MQOM2-L1-gf256-short-r5        200          145595        48.9         8239877      2814.8         5393146      1822.7
MQOM2-L3-gf2-fast-r3           100         4805041      1640.5        19693953      6553.2        18804969      6422.2
MQOM2-L3-gf2-fast-r5           100         4789078      1592.5        18725669      6462.8        18250538      6174.0
