# ECDH-as-KEM (DHKEM-style) shim parameters.
# pk = ct = raw public key length; ss = raw shared-secret length.
# Modelled as a KEM: encaps = ephemeral keygen + ECDH; ct = ephemeral public key.
file	name	pk	sk	ct	ss	iters	key_type
x25519	X25519	32	32	32	32	0	EVP_PKEY_X25519
x448	X448	56	56	56	56	0	EVP_PKEY_X448
