file	name	pk	sk	sig	iters
sdith_hypercube_cat1_gf256	SDitH-Hypercube-L1-GF256	132	432	8496	50
sdith_hypercube_cat1_p251	SDitH-Hypercube-L1-P251	132	432	8496	50
sdith_hypercube_cat3_gf256	SDitH-Hypercube-L3-GF256	180	628	19544	50
sdith_hypercube_cat3_p251	SDitH-Hypercube-L3-P251	180	628	19544	50
sdith_hypercube_cat5_gf256	SDitH-Hypercube-L5-GF256	244	838	33924	50
sdith_hypercube_cat5_p251	SDitH-Hypercube-L5-P251	244	838	33924	50
