file	name	pk	sk	sig	iters
sdith_threshold_cat1_gf256	SDitH-Threshold-L1-GF256	132	432	10684	50
sdith_threshold_cat1_p251	SDitH-Threshold-L1-P251	132	432	10684	50
sdith_threshold_cat3_gf256	SDitH-Threshold-L3-GF256	180	628	25964	50
sdith_threshold_cat3_p251	SDitH-Threshold-L3-P251	180	628	25964	50
sdith_threshold_cat5_gf256	SDitH-Threshold-L5-GF256	244	838	45676	50
sdith_threshold_cat5_p251	SDitH-Threshold-L5-P251	244	838	45676	50
