file	name	pk	sk	sig	iters
uov_Ip_pkc	UOV-Ip-pkc	46591	278087	135	100
uov_Ip_classic	UOV-Ip-classic	321300	278087	135	100
uov_Is_pkc	UOV-Is-pkc	66576	348704	96	100
uov_Is_classic	UOV-Is-classic	412160	348704	96	100
uov_III_pkc	UOV-III-pkc	189232	1167440	209	50
uov_III_classic	UOV-III-classic	1347912	1167440	209	50
uov_V_pkc	UOV-V-pkc	446992	2801024	275	50
uov_V_classic	UOV-V-classic	3232320	2801024	275	50
